date,SPY,TLT,GLD,DBC,UUP
2007-03-01,98.26807403564453,48.990501403808594,65.81999969482422,20.329017639160156,20.549209594726562
2007-03-02,96.98120880126953,49.236087799072266,63.709999084472656,20.142215728759766,20.540977478027344
2007-03-05,96.05802917480469,49.31798553466797,62.93000030517578,19.841707229614258,20.672653198242188
2007-03-06,97.70157623291016,49.17061996459961,64.1500015258789,20.028512954711914,20.656192779541016
2007-03-07,97.6036148071289,49.36165237426758,64.30000305175781,20.30465316772461,20.573898315429688
2007-03-08,98.42889404296875,49.31798553466797,64.4800033569336,20.337142944335938,20.672653198242188
2007-03-09,98.45684814453125,48.79938888549805,64.25,20.06911849975586,20.705570220947266
2007-03-12,98.60372161865234,48.990501403808594,64.37000274658203,19.88231658935547,20.639734268188477
2007-03-13,96.68745422363281,49.285213470458984,63.720001220703125,19.728004455566406,20.590356826782227
2007-03-14,97.4078140258789,49.06143569946289,63.939998626708984,19.768613815307617,20.540977478027344
2007-03-15,97.54069519042969,49.055973052978516,63.97999954223633,19.646785736083984,20.540977478027344
2007-03-16,97.26756286621094,49.04501724243164,64.62000274658203,19.69551658630371,20.466917037963867
2007-03-19,98.44010925292969,48.94133377075195,64.73999786376953,19.79297637939453,20.573898315429688
2007-03-20,98.9808349609375,48.96863555908203,65.2699966430664,19.81734275817871,20.450454711914062
2007-03-21,100.6097412109375,48.990501403808594,65.81999969482422,19.849834442138672,20.392850875854492
2007-03-22,100.53253936767578,48.60291290283203,65.76000213623047,20.174705505371094,20.392850875854492
2007-03-23,100.67994689941406,48.466426849365234,65.1500015258789,20.182828903198242,20.51629066467285
2007-03-26,100.54655456542969,48.52650833129883,65.83999633789062,20.27216911315918,20.450454711914062
2007-03-27,100.307861328125,48.44459533691406,65.69999694824219,20.329017639160156,20.442224502563477
2007-03-28,99.57762908935547,48.34635925292969,66.05000305175781,20.523944854736328,20.442224502563477
2007-03-29,99.68290710449219,48.280845642089844,65.6500015258789,20.921916961669922,20.466917037963867
2007-03-30,99.70397186279297,48.18806457519531,65.73999786376953,20.613285064697266,20.401081085205078
2007-04-02,99.81635284423828,48.26807403564453,65.8499984741211,20.41023826599121,20.450454711914062
2007-04-03,100.89060974121094,48.20779037475586,65.83000183105469,20.329017639160156,20.475141525268555
2007-04-04,101.0029296875,48.257083892822266,66.80999755859375,20.556432723999023,20.450454711914062
2007-04-05,101.27677154541016,48.0763053894043,66.86000061035156,20.5970401763916,20.38461685180664
2007-04-09,101.41722106933594,47.758514404296875,66.52999877929688,20.385873794555664,20.51629066467285
2007-04-10,101.53657531738281,47.90095520019531,67.16000366210938,20.670141220092773,20.450454711914062
2007-04-11,101.12234497070312,47.86811065673828,67.08000183105469,20.637649536132812,20.450454711914062
2007-04-12,101.57168579101562,47.8790283203125,66.98999786376953,20.759479522705078,20.327011108398438
2007-04-13,102.03508758544922,47.73112106323242,67.83999633789062,20.873186111450195,20.31878089904785
2007-04-16,103.00407409667969,47.99410629272461,68.4000015258789,20.71074867248535,20.236486434936523
2007-04-17,103.27787017822266,48.26254653930664,68.0,20.49958038330078,20.228256225585938
