scenario,mae,slope,intercept,n
mean_impute,1.2783168286969486,2.1302362713251,0.7115233802766634,180
median_impute,1.2839539915408869,2.1292902747598306,0.7271464831484193,180
drop_missing,1.0646032921970057,2.1302362713251,0.6591643618498666,171
